backend,device,dtype,n_particles,softening,seed,n_repeats,available,unavailable_reason,warmup_time_s,median_time_s,iqr_time_s,q25_time_s,q75_time_s,min_time_s,max_time_s,samples_time_s,max_abs_diff_vs_torch_eager_fp64,disk_cache_state,hostname,os_platform,cpu_model,cpu_logical_count,torch_num_threads,cuda_available,gpu_name,torch_gpu_runtime_version,python_version,torch_version,triton_version,timestamp_utc
triton,cuda,float32,512,0.05,20190222,50,True,,28.400707672999488,0.002731849999690894,0.000186321250112087,0.0026574897506179695,0.0028438110007300565,0.0025335610007459763,0.003181558000505902,0.003181558000505902;0.0031173659990599845;0.002814617999320035;0.0028915349994349526;0.0030280449991550995;0.002984483000545879;0.003026862999831792;0.003038545999515918;0.0028855430009571137;0.0030113429984339746;0.0026585800005705096;0.002676112999324687;0.002858190999177168;0.0025808809987211134;0.002658057999724406;0.002805390000503394;0.002657437000380014;0.002816591999362572;0.0025550319987814873;0.0026594009996188106;0.002781864999633399;0.002685802000996773;0.002807815000778646;0.0028713860010611825;0.0025991259990405524;0.0026765139991766773;0.002627318999657291;0.0027060510001319926;0.0028506670005299384;0.0026005180006904993;0.002658118000908871;0.002770192999378196;0.002657648001331836;0.0027576489992497955;0.0025335610007459763;0.002607692000310635;0.0027726770003937418;0.002651925999089144;0.002807172999382601;0.002852449000783963;0.0026044760015793145;0.0026833759984583594;0.0026071510001202114;0.0026655629990273155;0.002819155999532086;0.0025517750000290107;0.0025961400006053736;0.002810439000313636;0.0026640099986252608;0.002823243001330411,5.003688451576949e-06,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
triton,cuda,float64,512,0.05,20190222,50,True,,35.13771202499993,0.0033678949994282448,9.130975058724289e-05,0.003326753249439207,0.00341806300002645,0.0031945039991114754,0.00392975799877604,0.003809177000221098;0.00392975799877604;0.0035560139986046124;0.0035018599992326926;0.003390187999684713;0.0033063870014302665;0.0033554000001458917;0.003464029001406743;0.003607182001360343;0.0033547090006322833;0.003364227999554714;0.003400877998501528;0.0034183110001322348;0.0036420579999685287;0.003331043999423855;0.0033001350002450636;0.0033253229994443245;0.003417318999709096;0.0037332829997467343;0.0033373159985785605;0.003359659000125248;0.0033715619993017754;0.0033636259995546425;0.0031945039991114754;0.0032793760001368355;0.003385097999853315;0.003381029999218299;0.00339218099907157;0.0033959880001930287;0.0033085609993577236;0.0033207950000360142;0.003318199998830096;0.0033372660000168253;0.003402661001018714;0.003457816999798524;0.0033349309996992815;0.00336318600056984;0.00336087200048496;0.0035554229998524534;0.003220612999939476;0.0032758090001152596;0.003387011000086204;0.0034267669998371275;0.003398894001293229;0.003388604000065243;0.003280498000094667;0.0033242810004594503;0.0032989129995257827;0.0033584270004212158;0.0034274479985469952,2.6645352591003757e-15,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
python_pure,cpu,float32,1024,0.05,20190222,15,True,,0.13608532100079174,0.13681945299867948,0.000832050000099116,0.13663639849983156,0.13746844849993067,0.13624159900064114,0.13787395800136437,0.13744200299879594;0.13651502200082177;0.13758149900058925;0.1373739629998454;0.13674316700053168;0.13681945299867948;0.13653248499940673;0.13674031200025638;0.13640868800030148;0.13624159900064114;0.13787395800136437;0.13674839700070152;0.1375083889997768;0.137093076000383;0.1374948940010654,2.2242968162444754e-05,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
python_pure,cpu,float64,1024,0.05,20190222,15,True,,0.1364286459993309,0.13716796900007466,0.0007023570005912916,0.13696898400030477,0.13767134100089606,0.13414927100166096,0.14102535900019575,0.13709004999873287;0.13693385199985642;0.13669484499951068;0.13771965300111333;0.13708323699938774;0.1376230290006788;0.13720219500100939;0.13716796900007466;0.13700411600075313;0.13773600499916938;0.14102535900019575;0.13550658500025747;0.13414927100166096;0.1383134070001688;0.13737431399931666,9.769962616701378e-15,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
torch_eager,cpu,float32,1024,0.05,20190222,50,True,,0.003894720999596757,0.002264240999465983,0.0001501450001342164,0.002210372500030644,0.0023605175001648604,0.0021272939993650652,0.0031843839988141553,0.002357294000830734;0.003000192000399693;0.002187779999076156;0.002320061999853351;0.002201887000410352;0.002298360999702709;0.0023615919999429025;0.0022407910000765696;0.0022236779986997135;0.002286068000103114;0.0022070670001994586;0.0022673720013699494;0.002264306000142824;0.002631928999107913;0.002978841001095134;0.002246973001092556;0.002157683000405086;0.002336143999855267;0.002210192000347888;0.003130060000330559;0.002172421000068425;0.003008128000146826;0.0023742459998175036;0.002231012000265764;0.002447857001243392;0.002362814999287366;0.0023293699996429496;0.0021434549998957664;0.0021272939993650652;0.0030917269996280083;0.0022109139990789117;0.0021512900002562674;0.0022773410000809235;0.002264175998789142;0.0022620220006501768;0.0022465820002253167;0.0023140909997891868;0.0031843839988141553;0.002620716999444994;0.0022268640004767803;0.0022094819996709703;0.002232005001133075;0.002204712000093423;0.002206256000135909;0.002232085000287043;0.002419202000965015;0.0021764979992440203;0.0023529849986516638;0.002241502999822842;0.0023039420011627953,2.3196642478851004e-05,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
torch_eager,cpu,float64,1024,0.05,20190222,50,True,,0.011638566998954047,0.012885468499916897,0.0006313582484835933,0.012554323750919139,0.013185681999402732,0.012315179001234355,0.014172356999551994,0.013186182999561424;0.012315179001234355;0.012638677000722964;0.012443834999430692;0.012426512001184165;0.012357479999991483;0.012360725999315036;0.01237190699976054;0.012484513001254527;0.012503828998887911;0.01325725899914687;0.012633526999707101;0.013184178998926654;0.013300221000463353;0.012922329999128124;0.0125128269992274;0.01324279199980083;0.012951034001162043;0.01251724499888951;0.012607618000401999;0.013528838000638643;0.012835773999540834;0.012758957000187365;0.013665569000295363;0.013094187001115642;0.012930373999552103;0.013638377000461332;0.012881912000011653;0.012743166998916422;0.012705213999652187;0.014172356999551994;0.012788022000677302;0.012530480000350508;0.013059720999081037;0.012977554999451968;0.01343774300039513;0.013430871000309708;0.012590836000526906;0.01290403500024695;0.013256848000310129;0.012542153001049883;0.012777322001056746;0.012608860000909772;0.01288902499982214;0.012486235998949269;0.013168129000405315;0.01325082699986524;0.013103044000672526;0.013238933999673463;0.013057336000201758,0.0,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
torch_compiled,cpu,float32,1024,0.05,20190222,50,True,,0.4331094459994347,0.0014892654999130173,6.161725013953401e-05,0.0014667147502223088,0.0015283320003618428,0.0014276670008257497,0.0020613679989764933,0.0015195240011962596;0.0014843860008113552;0.0014661410004919162;0.0014931129990145564;0.0014764100014872383;0.0014497400006803218;0.0018935570005851332;0.0014651690016762586;0.0014541380005539395;0.0015113880017452175;0.0014342200011014938;0.0014465040003415197;0.0014343599996209377;0.0014276670008257497;0.0014302829986263532;0.0014703189990541432;0.0014739660000486765;0.0015473259991267696;0.001667455999267986;0.0015359949993580813;0.0019433930010563927;0.0014958369993109955;0.001478734999182052;0.001464949000364868;0.0014748680005141068;0.0014715119996253634;0.0014913490012986585;0.0014903379997122101;0.0015256049991876353;0.001505496000390849;0.0015389599993795855;0.0015454329986823723;0.0014764709994778968;0.0014497390002361499;0.0014881930001138244;0.0014684359994134866;0.001540162998935557;0.0015171380000538193;0.001539281000077608;0.0015019489983387757;0.0015213160004350357;0.0014859989987598965;0.0015371369991044048;0.0014555709985870635;0.001484676000472973;0.0014656399998784764;0.0015292410007532453;0.0015133209999476094;0.002011182999922312;0.0020613679989764933,2.558082826986663e-05,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
torch_compiled,cpu,float64,1024,0.05,20190222,50,True,,0.40150504400116915,0.0014608004994443036,2.6964000880980166e-05,0.001448850499400578,0.0014758145002815581,0.0013829819999955362,0.0020626009991246974,0.001411086001098738;0.0014465439999185037;0.0013829819999955362;0.0013992940002935939;0.0019124440004816279;0.0014587969999411143;0.0014574850010831142;0.0014765310006623622;0.0014698979994136607;0.0014653799989901017;0.0014612209997721948;0.0014573140015272656;0.0014643679987784708;0.001592552000147407;0.0017216199994436465;0.0014442599986068672;0.0014483769991784357;0.0016325489996233955;0.0017061090002243873;0.0014225079994503176;0.0014150130009511486;0.001425163000021712;0.001437836999684805;0.0014442989995586686;0.0014821720014879247;0.001450271000067005;0.0014506019997497788;0.001450952000595862;0.0014659299995400943;0.0014580459992430406;0.001473664999139146;0.0014723229996889131;0.001464266999391839;0.0014603799991164124;0.0014557009999407455;0.0014630349996878067;0.0014558710008714115;0.0019465790010144701;0.0015398019986605505;0.001427467999747023;0.00152684800013958;0.0014382680001290282;0.001775291999365436;0.0014617429987993091;0.0014583359989046585;0.0014629950001108227;0.001461501999074244;0.001452784999855794;0.001507500001025619;0.0020626009991246974,9.769962616701378e-15,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
torch_eager,cuda,float32,1024,0.05,20190222,50,True,,0.0008898100004444132,0.0005034919995523524,8.324000646098284e-06,0.0005002652492294146,0.0005085892498755129,0.0004909879990009358,0.0005214159991737688,0.0005087019999336917;0.0005202439988352126;0.0005214159991737688;0.0005104050014779205;0.0005199530005484121;0.0005124290000821929;0.0005116879983688705;0.0005125299994688248;0.0005057260004832642;0.0005069090002507437;0.0005064279994257959;0.0005111159989610314;0.0005082509997009765;0.0004986330004612682;0.0005018889987695729;0.0004998750009690411;0.000504383999214042;0.0005033209999965038;0.000499234000017168;0.0005009969991078833;0.0005006859992136015;0.0005041940003138734;0.0005018189986003563;0.0005033910001657205;0.0005060160001448821;0.0005072000003565336;0.0005028609994042199;0.0005056669997429708;0.0005088119996798923;0.0005116280008223839;0.0005120989990246017;0.0005001249992346857;0.000503541999933077;0.0005034419991716277;0.0004982319987902883;0.0004995750005036825;0.0004966589985997416;0.000501848999192589;0.0005024700003559701;0.0005068489990662783;0.0005008669995731907;0.0005026599992561387;0.0004989330009266268;0.0005124689996591769;0.0004996839998057112;0.0004992029989807634;0.0005037030005041743;0.0004998040003556525;0.0004994740011170506;0.0004909879990009358,2.271980532064788e-05,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
torch_eager,cuda,float64,1024,0.05,20190222,50,True,,0.0019674489994940814,0.0016288670003632433,2.097025117109297e-05,0.0016204312491936435,0.0016414015003647364,0.0016098659998533549,0.0017849409996415488,0.0017112189998442773;0.0017849409996415488;0.0017182530009449692;0.0017184839998662937;0.0016343920015060576;0.0016416670005128253;0.0016477879999001743;0.0016510040004504845;0.001634623000427382;0.001667647000431316;0.0016335210002580425;0.001669459999902756;0.0016443419990537222;0.0016406049999204697;0.0016294329998345347;0.0016279100000247126;0.0016461949999211356;0.0016098659998533549;0.0016186530010600109;0.0016226000007009134;0.0016374180013372097;0.0016340820002369583;0.0016165079996426357;0.0016177300003619166;0.0016283010008919518;0.0016232309990300564;0.0016203559989662608;0.0016203249997488456;0.0016163079999387264;0.001648719999138848;0.0016346729989891173;0.0016346930005965987;0.0016359849996661069;0.0016123699988384033;0.0016249039999820525;0.0016215080013353145;0.0016206569998757914;0.0016253360008704476;0.0016161980001925258;0.0016364869989047293;0.0016419469993707025;0.0016153960004885448;0.0016275789985229494;0.001621297999008675;0.0016351739996025572;0.001616989999092766;0.001613482001630473;0.0016160070008481853;0.0016213180006161565;0.0016210480007430306,2.6645352591003757e-15,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
