step,t_over_tff,m_big_over_mbar,mass_ratio_q,split_f,old_contact_sep,new_contact_sep,placement_ratio,placement_ratio_closed_form,u,u_prime,speed_ratio,speed_ratio_closed_form,t_cm_over_ebind_big,t_cm_over_ebind_pair
260,0.06188403075445917,1.0,1.0,0.3221469500206072,0.01,0.00985230631886421,0.9852306318864209,0.9852306318864209,1.6988293965036365,1.8177116158368807,1.0699789040488208,1.0699789040488208,0.09008798835772465,0.02837593821864539
549,0.13067051109306957,1.0,1.0,0.12330882472511101,0.01,0.009164768136261641,0.9164768136261641,0.9164768136261641,1.963776533627854,2.986356656526158,1.520721225346961,1.5207212253469613,0.12037920938252383,0.03791707496768605
718,0.170895131083468,1.0,1.0,0.3812010229890028,0.01,0.009935919284750138,0.9935919284750138,0.9935919284750138,2.027539980306243,2.0873131480176204,1.029480635791137,1.0294806357911372,0.12832350338112267,0.0404193707765331
796,0.18946034030980577,1.0,1.0,0.39659688496558665,0.01,0.009951707437271185,0.9951707437271184,0.9951707437271184,2.1112110398831248,2.1578598241820153,1.0220957466675018,1.0220957466675018,0.1391331606417534,0.0438241994577375
985,0.23444527035823953,1.0,1.0,0.3469796603789022,0.01,0.00989211636291538,0.989211636291538,0.9892116362915379,2.074992652886931,2.1795719223844436,1.050399826405174,1.0503998264051737,0.13440037520573198,0.04233346545886768
1168,0.2780021073892627,1.0,1.5520867106394016,0.3595942754404091,0.00931848429167196,0.009283472279934334,0.9962427353374501,0.9962427353374501,3.2829086443967763,3.3395455717633826,1.0172520570937218,1.0172520570937218,0.26364498771380523,0.11509428952955858
1625,0.38677519221536977,2.0,2.0,0.10703508198928875,0.011299605249474366,0.010368079440437002,0.9175612078058483,0.9175612078058482,2.6575487997405247,4.052235898607428,1.5248020653479915,1.5248020653479912,0.09258740837152109,0.0471049444639919
1731,0.412004835522957,1.0,1.0,0.4532531931829119,0.01,0.009990256115273977,0.9990256115273977,0.9990256115273976,2.6083122922415525,2.619787276520693,1.0043993904845188,1.0043993904845188,0.21236675485167936,0.06689133618387375
3042,0.7240431598271723,1.0,1.0,0.4214562420575091,0.01,0.009972327505544061,0.9972327505544061,0.9972327505544061,1.9504132501604137,1.974932658918414,1.0125713916043093,1.012571391604309,0.11874644914858766,0.03740278772064418
3080,0.7330877489374393,1.0,1.0,0.4922501910148448,0.01,0.009999733044960168,0.9999733044960167,0.9999733044960168,5.643654314049694,5.644332346775353,1.0001201407258362,1.000120140725836,0.9942329759461144,0.31316376372353316
3402,0.809728740871808,1.0,1.0,0.12801222800028703,0.01,0.009193336720831313,0.9193336720831313,0.9193336720831312,3.406609592040052,5.09813631668005,1.4965425825702046,1.4965425825702043,0.3622530780952609,0.11410256962035766
3459,0.8232956245372087,2.0,2.0,0.447491512640115,0.011299605249474366,0.011433057482031425,1.0118103446634357,1.0118103446634354,3.3936124419936533,3.21731888574572,0.9480513584679204,0.9480513584679205,0.15097808710593671,0.0768118962771659
3607,0.8585219189666701,1.0,1.0,0.22053048701628755,0.01,0.009603581768252316,0.9603581768252316,0.9603581768252313,5.383302090845346,6.492095066965045,1.2059689308547765,1.2059689308547765,0.9046172344259393,0.28493657393773153
3653,0.8694706321001513,1.0,1.0,0.4182441163295212,0.01,0.009969994491817166,0.9969994491817166,0.9969994491817167,4.027011642475042,4.08194902780684,1.0136422216296432,1.0136422216296432,0.5062128028828673,0.15944704151960215
3679,0.8756590351755973,2.0,2.0,0.37812056784708126,0.011299605249474366,0.011369846020474762,1.0062162145888824,1.0062162145888824,3.6585761502307563,3.5566210510533165,0.9721325742608885,0.9721325742608886,0.17547434484043864,0.08927465855180661
3708,0.8825614847597485,1.0,1.0,0.4880066981717367,0.01,0.00999936057799878,0.9999360577998779,0.9999360577998779,4.547869528391962,4.549178417864769,1.0002878027754833,1.0002878027754836,0.6456294740022884,0.2033605411820095
3930,0.9354009264039405,2.3557060999587853,2.3557060999587853,0.3848208387828408,0.011652890465205543,0.011811295408316866,1.0135936181314247,1.0135936181314247,5.609211573996586,5.272885716676036,0.9400404401075361,0.9400404401075361,0.33062549387701295,0.18332920425105317
3942,0.9382571124387618,1.0,1.0,0.4591675850206487,0.01,0.009992571466065556,0.9992571466065556,0.9992571466065556,10.449509369770531,10.484529275775964,1.003351344524054,1.003351344524054,3.4084674738229253,1.0735999795378766
3959,0.9423033759880917,1.0,1.0,0.24537354735500574,0.01,0.00967918584068304,0.967918584068304,0.9679185840683041,11.604987820573774,13.484498836153808,1.1619571726088298,1.1619571726088298,4.203942163678541,1.324158806139798
3972,0.9453975775258147,1.0,1.0,0.3738697756295436,0.01,0.009927564421023084,0.9927564421023084,0.9927564421023082,13.003375230408302,13.437967498198867,1.0334214971182463,1.033421497118246,5.2781234574277205,1.662504711989273
3976,0.9463496395374217,1.0,1.0,0.450823119817632,0.01,0.009989212986236604,0.9989212986236603,0.9989212986236602,4.024108910624854,4.043714801151387,1.0048721073315803,1.0048721073315803,0.5054832939699287,0.15921726061072788
3984,0.9482537635606358,1.0,1.0,0.46814989103318105,0.01,0.009995484633230526,0.9995484633230526,0.9995484633230525,9.96092080780169,9.98119182190263,1.0020350542376628,1.0020350542376628,3.097179166120296,0.9755503066727028
3989,0.9494438410751447,1.0,1.0,0.12376728900723313,0.01,0.009167598142094323,0.9167598142094323,0.9167598142094323,4.1151996409645175,6.2481039057422,1.5182990986745357,1.5182990986745357,0.5286267946604155,0.16650700653277808
3994,0.9506339185896535,1.0,1.0,0.21522455365161017,0.01,0.00958593481178018,0.958593481178018,0.9585934811780178,6.715078829296955,8.16963226659192,1.2166100315827941,1.2166100315827937,1.4075686487773147,0.4433563424416556
4002,0.9525380426128676,1.0,1.3373640571989833,0.39857779835863405,0.009538232991566576,0.009516145314710907,0.9976843009732307,0.9976843009732308,12.972584992248759,13.109275991098091,1.010536912953818,1.010536912953818,4.4949414414776765,1.772540556931024
4024,0.9577743836767065,1.0,1.0,0.16985390750981927,0.01,0.00940935414084332,0.9409354140843319,0.9409354140843319,10.690110119723915,14.234333870181315,1.331542305061768,1.3315423050617679,3.5672349338730225,1.1236085957767417
4028,0.9587264456883137,1.0,1.0,0.1069017336918534,0.01,0.00905641097388638,0.9056410973886381,0.9056410973886379,8.579520357138934,13.883245901245862,1.618184388325829,1.618184388325829,2.2977002560203488,0.7237302297272192
4033,0.9599165232028225,1.0,1.0,0.29922588245610704,0.01,0.009809038738619326,0.9809038738619326,0.9809038738619326,5.322725289012273,5.811864118300515,1.0918963130218224,1.0918963130218224,0.8843729679562197,0.2785600295715113
4049,0.9637247712492507,1.0,1.0,0.3636301443022697,0.01,0.009914968961065541,0.9914968961065541,0.9914968961065539,11.682693900493016,12.143063424422525,1.0394061102559644,1.0394061102559644,4.26042917689956,1.3419511003905111
4059,0.9661049262782683,1.0,1.0,0.2877104798294969,0.01,0.009784761822446524,0.9784761822446524,0.9784761822446522,6.730403439303838,7.433699208882737,1.1044953361148948,1.1044953361148946,1.414000458233973,0.4453822354724947
4059,0.9661049262782683,1.0,1.0,0.18102292904281903,0.01,0.009457534113746164,0.9457534113746163,0.9457534113746162,5.9615190325936975,7.7414849500474325,1.2985759011624458,1.298575901162446,1.1093822786554133,0.3494335213145738
4061,0.9665809572840718,1.0,1.0,0.40783600086935856,0.01,0.00996176349332233,0.9961763493322329,0.996176349332233,5.719806132558716,5.819524933232697,1.017433947648392,1.017433947648392,1.0212450690474786,0.32167203989856535
4065,0.9675330192956789,1.0,1.0,0.34791943916730994,0.01,0.009893486216753903,0.9893486216753903,0.9893486216753903,9.355884537062789,9.821207429010025,1.04973585235088,1.0497358523508802,2.7323546051431618,0.860637770699266
4081,0.9713412673421072,1.0,1.0,0.4638546530833294,0.01,0.009994182122589129,0.9994182122589129,0.9994182122589128,17.236237132702975,17.281452237389907,1.002623258448977,1.002623258448977,9.27368361677967,2.9210272997114815
4096,0.9749114998856336,1.0,1.0,0.18387879404905397,0.01,0.009469317716248815,0.9469317716248815,0.9469317716248813,5.829452806799745,7.524101410365525,1.2907045754944722,1.2907045754944726,1.060774169957552,0.33412292647857034
4114,0.9791957789378654,1.0,1.0,0.20211296413591398,0.01,0.009539842103734923,0.9539842103734923,0.9539842103734923,6.758405739116541,8.414851869426,1.245094212193006,1.2450942121930058,1.4257910245845182,0.4490960311563033
4127,0.9822899804755884,1.0,1.0,0.2835206675398471,0.01,0.009775484972798659,0.9775484972798658,0.9775484972798657,16.77703926681853,18.611917994576576,1.1093684468741187,1.1093684468741187,8.78613752008925,2.7674599022078965
4133,0.983718073492999,1.0,1.0,0.20324286911300923,0.01,0.00954395916396827,0.9543959163968271,0.954395916396827,15.318792753757872,19.033730112049827,1.2425084938485533,1.2425084938485533,7.325148542089468,2.3072772104463155
4141,0.985622197516213,2.0,2.0,0.2624443302643995,0.011299605249474366,0.011132374566497533,0.9852003075076794,0.9852003075076794,15.485467661836223,16.592127194414186,1.0714643920832507,1.0714643920832507,3.1436781960654057,1.599383646684638
4145,0.9865742595278203,1.0,1.0,0.22530253624957836,0.01,0.009618983283827815,0.9618983283827814,0.9618983283827816,12.699868399237639,15.199178576663156,1.1967981162368224,1.1967981162368226,5.034609556609137,1.5858026395934366
4151,0.9880023525452307,1.0,1.0,0.2366078068942965,0.01,0.009653773244115874,0.9653773244115874,0.9653773244115875,7.50850039547212,8.833540816906229,1.1764720452346455,1.1764720452346453,1.7598423736806228,0.554315612774294
4158,0.9896684610655432,1.0,1.0,0.38808141257210427,0.01,0.009943266299078667,0.9943266299078667,0.9943266299078665,10.064492447891508,10.326511636496596,1.0260340190984971,1.0260340190984973,3.161921700371225,0.9959429271042741
4163,0.990858538580052,1.0,1.0,0.4454421120529032,0.01,0.00998671209415082,0.998671209415082,0.998671209415082,8.823283601972463,8.87628346814591,1.0060068188402784,1.0060068188402782,2.4301206283873635,0.765440033372249
4164,0.9910965540829536,1.0,1.0,0.3190822060705708,0.01,0.009846895426982336,0.9846895426982336,0.9846895426982335,15.312859802104711,16.425843320170944,1.0726829300633483,1.0726829300633485,7.3194755968523735,2.3054903446665365
4165,0.9913345695858555,1.401548235087786,1.401548235087786,0.38513503208107713,0.010595505847792891,0.010565286430320307,0.9971479023364535,0.9971479023364536,8.549930542248553,8.661216813550189,1.013016043902547,1.013016043902547,1.5173735532776458,0.6184250440298228
4177,0.9941907556206768,1.0530152264448094,1.0530152264448094,0.2512264130495675,0.010086841682966165,0.00978035274739765,0.9696149751129644,0.9696149751129644,13.842319161099606,15.952402786578833,1.1524371458945328,1.1524371458945326,5.62945643763878,1.8501371793981438
4180,0.9949048021293819,1.526784386211407,1.526784386211407,0.4273583931953235,0.010757437616907221,0.010784953100312127,1.0025578101760646,1.0025578101760646,18.53811280519225,18.32519573784358,0.9885146309343292,0.9885146309343292,6.40385859150637,2.7656100345419135
4196,0.9987130501758101,1.0,1.0,0.4082859635813861,0.01,0.009962140703550573,0.9962140703550573,0.9962140703550574,10.810395084134909,10.996979361870778,1.0172597094078177,1.0172597094078175,3.6479635231587535,1.1490365080190943
4198,0.9991890811816139,1.0,1.3750235172592624,0.17704429789509818,0.009496417495604724,0.008990481693159904,0.946723508872795,0.946723508872795,13.896991238792529,17.975406942886625,1.2934747265803457,1.2934747265803452,5.0765772979391075,2.0416189565118255
