collision_seed,positions_seed,v_coh_mode,device,n,n_steps,dt,n_final,max_m_over_mtotal,min_m_over_mbar,n_below_c6_floor,t_runaway_over_tff,transition_over_tff,max_e_int_over_e0,n_merge,n_elastic,n_fragment,n_events,mass_rel_error,f_reject_max,c_coll_max,wall_seconds,failure
20190225,20190222,from-state,cuda,1000,12600,0.0005,779,0.3183620518358098,0.1339207498966713,0,1.913644643330199,1.0853506932320527,10.17297018858946,221,922,2153,3296,0.0,0.6666666666666666,2.648708824566377,48.60843076297897,
20190226,20190222,from-state,cuda,1000,12600,0.0005,790,0.21633357983526919,0.1476936371501615,0,2.061214255129294,0.937781081432958,7.897544332608446,210,913,2205,3328,0.0,0.75,2.9281833337201557,45.0629121089878,
20190227,20190222,from-state,cuda,1000,12600,0.0005,795,0.30529551737748284,0.12221723258074522,0,1.9422065036784109,1.056788832883841,8.592091029224665,205,866,2088,3159,1.220703125e-16,0.75,2.457134784442938,43.07585038797697,
20190228,20190222,from-state,cuda,1000,12600,0.0005,791,0.30793016400048917,0.13510255552377276,0,2.00409053443287,0.9949048021293819,8.589897986306585,209,870,2217,3296,0.0,0.75,3.881737727235607,38.02600660099415,
