collision_seed,t_over_tff,n_live,max_m_over_mtotal,e_int_over_e0
20190225,0.004760310058035321,1000,0.001,0.0
20190225,0.009520620116070641,1000,0.001,0.0
20190225,0.014280930174105961,1000,0.001,0.0
20190225,0.019041240232141283,1000,0.001,0.0
20190225,0.023801550290176603,1000,0.001,0.0
20190225,0.028561860348211923,1000,0.001,0.0
20190225,0.03332217040624725,1000,0.001,0.0
20190225,0.038082480464282566,999,0.002,0.00013662206476007334
20190225,0.04284279052231788,999,0.002,0.00013662206476007334
20190225,0.047603100580353205,999,0.002,0.00013662206476007334
20190225,0.05236341063838852,999,0.002,0.00013662206476007334
20190225,0.057123720696423845,999,0.002,0.00013662206476007334
20190225,0.06188403075445917,999,0.002,0.00013662206476007334
20190225,0.0666443408124945,999,0.002,0.00016237880435176325
20190225,0.0714046508705298,999,0.002,0.00016237880435176325
20190225,0.07616496092856513,999,0.002,0.00016237880435176325
20190225,0.08092527098660045,999,0.002,0.00016237880435176325
20190225,0.08568558104463576,999,0.002,0.00016237880435176325
20190225,0.0904458911026711,999,0.002,0.00016237880435176325
20190225,0.09520620116070641,997,0.002,0.0002990273162068691
20190225,0.09996651121874173,997,0.002,0.0002990273162068691
20190225,0.10472682127677704,997,0.002,0.0002990273162068691
20190225,0.10948713133481237,997,0.002,0.0002990273162068691
20190225,0.11424744139284769,996,0.002,0.00035841623936752013
20190225,0.119007751450883,996,0.002,0.00035841623936752013
20190225,0.12376806150891834,996,0.002,0.00035841623936752013
20190225,0.12852837156695365,996,0.002,0.00035841623936752013
20190225,0.133288681624989,995,0.002,0.0005266718564719584
20190225,0.13804899168302429,993,0.002,0.0006299933921684068
20190225,0.1428093017410596,993,0.002,0.0006299933921684068
20190225,0.14756961179909495,993,0.002,0.0006299933921684068
20190225,0.15232992185713026,992,0.002,0.000680103218397704
20190225,0.15709023191516558,992,0.002,0.000680103218397704
20190225,0.1618505419732009,992,0.002,0.000680103218397704
20190225,0.16661085203123624,990,0.002,0.0007749600989687818
20190225,0.17137116208927153,989,0.002,0.0008845810002715054
20190225,0.17613147214730684,989,0.002,0.0008845810002715054
20190225,0.1808917822053422,987,0.002,0.000969394813116181
20190225,0.1856520922633775,986,0.002,0.0010156840493861926
20190225,0.19041240232141282,986,0.002,0.0010248773615315733
20190225,0.19517271237944817,986,0.002,0.0010248773615315733
20190225,0.19993302243748345,986,0.002,0.0010248773615315733
20190225,0.20469333249551877,985,0.002,0.001059983937489393
20190225,0.2094536425535541,985,0.002,0.001059983937489393
20190225,0.21421395261158943,985,0.002,0.001059983937489393
20190225,0.21897426266962475,984,0.002,0.0010964959258202528
20190225,0.22373457272766006,984,0.002,0.0010964959258202528
20190225,0.22849488278569538,984,0.002,0.0010964959258202528
20190225,0.2332551928437307,984,0.002,0.0010964959258202528
20190225,0.238015502901766,982,0.0023557060999587856,0.001070332888946516
20190225,0.24277581295980136,982,0.0023557060999587856,0.001070332888946516
20190225,0.24753612301783667,982,0.0023557060999587856,0.001070332888946516
20190225,0.252296433075872,982,0.0023557060999587856,0.001070332888946516
20190225,0.2570567431339073,982,0.0023557060999587856,0.001070332888946516
20190225,0.26181705319194265,979,0.0023557060999587856,0.0011708894011158218
20190225,0.266577363249978,979,0.0023557060999587856,0.0011708894011158218
20190225,0.2713376733080133,979,0.0023557060999587856,0.0011708894011158218
20190225,0.27609798336604857,978,0.0023557060999587856,0.001239043269327342
20190225,0.2808582934240839,977,0.0023557060999587856,0.001311663628167301
20190225,0.2856186034821192,976,0.0023557060999587856,0.0013479083124035814
20190225,0.29037891354015455,975,0.0023557060999587856,0.0014162244298667078
20190225,0.2951392235981899,975,0.0023557060999587856,0.0014162244298667078
20190225,0.2998995336562252,973,0.0023557060999587856,0.0014759031912810843
20190225,0.3046598437142605,973,0.0023557060999587856,0.0014759031912810843
20190225,0.3094201537722958,972,0.0023557060999587856,0.0015067968334349278
20190225,0.31418046383033116,972,0.0023557060999587856,0.0015067968334349278
20190225,0.3189407738883665,972,0.0023557060999587856,0.0015067968334349278
20190225,0.3237010839464018,972,0.0023557060999587856,0.0015067968334349278
20190225,0.32846139400443713,971,0.0023557060999587856,0.001527714571376883
20190225,0.3332217040624725,971,0.0023557060999587856,0.001527714571376883
20190225,0.3379820141205077,969,0.0023557060999587856,0.0016178102876123045
20190225,0.34274232417854306,969,0.0023557060999587856,0.0016178102876123045
20190225,0.3475026342365784,968,0.0023557060999587856,0.0016440516136501876
20190225,0.3522629442946137,967,0.0023557060999587856,0.0016725499177279773
20190225,0.35702325435264903,967,0.0023557060999587856,0.0016725499177279773
20190225,0.3617835644106844,966,0.0023557060999587856,0.0016955972297252309
20190225,0.36654387446871967,964,0.0023557060999587856,0.0017479098814034545
20190225,0.371304184526755,964,0.0023557060999587856,0.0017479098814034545
20190225,0.37606449458479035,964,0.0023557060999587856,0.0017479098814034545
20190225,0.38082480464282564,964,0.0023557060999587856,0.0017479098814034545
20190225,0.385585114700861,964,0.0023557060999587856,0.0017479098814034545
20190225,0.39034542475889633,964,0.0026788947540321334,0.001978570038393611
20190225,0.3951057348169316,964,0.0026788947540321334,0.001978570038393611
20190225,0.3998660448749669,963,0.0026788947540321334,0.0020332532942819214
20190225,0.40462635493300225,963,0.0026788947540321334,0.0020332532942819214
20190225,0.40938666499103754,963,0.0026788947540321334,0.0020332532942819214
20190225,0.4141469750490729,963,0.0026788947540321334,0.002035341094844724
20190225,0.4189072851071082,963,0.0026788947540321334,0.002035341094844724
20190225,0.4236675951651435,962,0.0026788947540321334,0.0020575450189555086
20190225,0.42842790522317886,962,0.0026788947540321334,0.0020575450189555086
20190225,0.43318821528121415,962,0.0026788947540321334,0.0020575450189555086
20190225,0.4379485253392495,962,0.0026788947540321334,0.0020575450189555086
20190225,0.44270883539728484,962,0.0026788947540321334,0.0020575450189555086
20190225,0.4474691454553201,962,0.0026788947540321334,0.0020575450189555086
20190225,0.45222945551335547,962,0.0026788947540321334,0.0020575450189555086
20190225,0.45698976557139076,961,0.0026788947540321334,0.002075263341370479
20190225,0.46175007562942605,960,0.0026788947540321334,0.0020705340643002723
20190225,0.4665103856874614,960,0.0026788947540321334,0.0020705340643002723
20190225,0.47127069574549674,960,0.0026788947540321334,0.0020705340643002723
20190225,0.476031005803532,960,0.0026788947540321334,0.0020705340643002723
20190225,0.48079131586156737,960,0.0026788947540321334,0.0020705340643002723
20190225,0.4855516259196027,960,0.0026788947540321334,0.0020705340643002723
20190225,0.490311935977638,960,0.0026788947540321334,0.0020705340643002723
20190225,0.49507224603567335,960,0.0026788947540321334,0.0020705340643002723
20190225,0.4998325560937087,959,0.0026788947540321334,0.002077572215987033
20190225,0.504592866151744,959,0.0026788947540321334,0.002077572215987033
20190225,0.5093531762097793,958,0.0026788947540321334,0.002091394667140989
20190225,0.5141134862678146,957,0.0026788947540321334,0.00209053192099755
20190225,0.51887379632585,956,0.0026788947540321334,0.001837375506621078
20190225,0.5236341063838853,956,0.0026788947540321334,0.001837375506621078
20190225,0.5283944164419206,956,0.0026788947540321334,0.001837375506621078
20190225,0.533154726499956,956,0.0026788947540321334,0.001837375506621078
20190225,0.5379150365579912,956,0.0026788947540321334,0.001837375506621078
20190225,0.5426753466160266,956,0.0026788947540321334,0.001837375506621078
20190225,0.5474356566740619,956,0.0026788947540321334,0.001837375506621078
20190225,0.5521959667320971,956,0.0026788947540321334,0.001837375506621078
20190225,0.5569562767901325,956,0.0026788947540321334,0.001837375506621078
20190225,0.5617165868481678,956,0.0026788947540321334,0.001837375506621078
20190225,0.5664768969062031,955,0.0026788947540321334,0.0018546356493511994
20190225,0.5712372069642384,953,0.0026788947540321334,0.0018707969352507714
20190225,0.5759975170222738,953,0.0026788947540321334,0.0018707969352507714
20190225,0.5807578270803091,951,0.0026788947540321334,0.001944452451856769
20190225,0.5855181371383444,951,0.0026788947540321334,0.001944452451856769
20190225,0.5902784471963798,951,0.0026788947540321334,0.001944452451856769
20190225,0.595038757254415,951,0.0026788947540321334,0.001944452451856769
20190225,0.5997990673124504,951,0.0026788947540321334,0.001944452451856769
20190225,0.6045593773704857,951,0.0026788947540321334,0.001944452451856769
20190225,0.609319687428521,951,0.0026788947540321334,0.001944452451856769
20190225,0.6140799974865564,951,0.0026788947540321334,0.001944452451856769
20190225,0.6188403075445916,951,0.0026788947540321334,0.001944452451856769
