collision_seed,positions_seed,n,n_steps,dt,n_final,max_m_over_mtotal,min_m_over_mbar,n_below_c6_floor,t_runaway_over_tff,transition_over_tff,max_e_int_over_e0,n_merge,n_elastic,n_fragment,n_events,mass_rel_error,f_reject_max,c_coll_max,wall_seconds,failure
20190225,20190222,1000,12600,0.0005,781,0.3154196989873895,0.12969137099768663,0,1.8803224729239516,1.1186728636383,10.077344141616102,219,878,2041,3138,3.662109375e-16,0.75,2.6487088250470627,607.9256608010037,
20190226,20190222,1000,12600,0.0005,791,0.282143095575959,0.06948600365290095,0,2.013611154548941,0.985384182013311,7.78619153931382,209,949,2335,3493,1.220703125e-16,0.75,2.928183333305079,444.6653809680138,
20190227,20190222,1000,12600,0.0005,778,0.31564431694223244,0.12221723258074522,0,1.9802889841426934,1.0187063524195583,9.73912591379164,222,1028,2239,3489,1.220703125e-16,0.8,2.4571374682545635,441.16170696300105,
20190228,20190222,1000,12600,0.0005,803,0.29177555737226174,0.10989778370286989,0,1.9707683640266225,1.0282269725356292,7.277621057578703,197,898,2254,3349,2.44140625e-16,0.75,3.8817378428505345,442.96368089699536,
